Year,Team,Elo_Rating,Matches,Win_Rate,Draw_Rate,Loss_Rate,Goals_For_Per_Game,Goals_Against_Per_Game,Goal_Difference_Per_Game,Points_Per_Game,Host,Confederation,FIFA_Rank,Previous_WC_Progress,WC_Matches,WC_Wins,WC_Draws,WC_Losses,WC_Goals_For,WC_Goals_Against,WC_Goal_Difference,WC_Points,Live_Form_Win_Rate,Live_Form_GF_Per_Game,Live_Form_GA_Per_Game,Is_Eliminated
2026,Spain,2162.3,6,0.8333333333333334,0.1666666666666666,0.0,3.5,0.3333333333333333,3.1666666666666665,2.6666666666666665,0,UEFA,2,0.5161,1,1,0,0,3,0,3,3,1.0,3.0,0.0,0
2026,Argentina,2115.0,18,0.6666666666666666,0.1111111111111111,0.2222222222222222,1.7222222222222223,0.5555555555555556,1.1666666666666667,2.111111111111111,0,CONMEBOL,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,France,2071.2,6,0.8333333333333334,0.1666666666666666,0.0,2.6666666666666665,0.6666666666666666,2.0,2.6666666666666665,0,UEFA,3,0.9677,1,1,0,0,1,0,1,3,1.0,1.0,0.0,0
2026,England,2024.0,8,1.0,0.0,0.0,2.75,0.0,2.75,3.0,0,UEFA,4,0.7742,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Brazil,2010.9,18,0.4444444444444444,0.2222222222222222,0.3333333333333333,1.3333333333333333,0.9444444444444444,0.3888888888888889,1.5555555555555556,0,CONMEBOL,6,0.7742,1,1,0,0,2,1,1,3,1.0,2.0,1.0,0
2026,Portugal,1969.1,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,3.333333333333333,1.1666666666666667,2.1666666666666665,2.1666666666666665,0,UEFA,5,0.7742,1,0,0,1,1,2,-1,0,0.0,1.0,2.0,1
2026,Colombia,1982.0,18,0.3888888888888889,0.3888888888888889,0.2222222222222222,1.5555555555555556,1.0,0.5555555555555556,1.5555555555555556,0,CONMEBOL,13,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Netherlands,1948.0,8,0.75,0.25,0.0,3.375,0.5,2.875,2.5,0,UEFA,8,0.7742,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Ecuador,1938.0,18,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.2777777777777778,0.5,1.7777777777777777,0,CONMEBOL,23,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Germany,1932.0,6,0.8333333333333334,0.0,0.1666666666666666,2.6666666666666665,0.5,2.1666666666666665,2.5,0,UEFA,10,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
