Year,Team,Elo_Rating,Matches,Win_Rate,Draw_Rate,Loss_Rate,Goals_For_Per_Game,Goals_Against_Per_Game,Goal_Difference_Per_Game,Points_Per_Game,Host,Confederation,FIFA_Rank,Previous_WC_Progress,Winner
2006,Brazil,2034,18,0.5,0.3888888888888889,0.1111111111111111,1.9444444444444444,0.9444444444444444,1.0,1.8888888888888888,0,CONMEBOL,1,1.0,0
2006,Netherlands,1994,12,0.8333333333333334,0.1666666666666666,0.0,2.25,0.25,2.0,2.6666666666666665,0,UEFA,3,-1.0,0
2006,England,1972,10,0.8,0.1,0.1,1.7,0.5,1.2,2.5,0,UEFA,10,0.7742,0
2006,Czechia,1971,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,UEFA,2,-1.0,0
2006,France,1971,10,0.5,0.5,0.0,1.4,0.2,1.2,2.0,0,UEFA,8,0.0,0
2006,Spain,1964,12,0.5,0.5,0.0,2.083333333333333,0.4166666666666667,1.6666666666666667,2.0,0,UEFA,5,0.7742,0
2006,Italy,1943,10,0.7,0.2,0.1,1.7,0.8,0.9,2.3,0,UEFA,13,0.5161,1
2006,Argentina,1922,18,0.5555555555555556,0.2222222222222222,0.2222222222222222,1.6111111111111112,0.9444444444444444,0.6666666666666666,1.8888888888888888,0,CONMEBOL,9,0.0,0
2006,Portugal,1915,12,0.75,0.25,0.0,2.9166666666666665,0.4166666666666667,2.5,2.5,0,UEFA,7,0.0,0
2006,Germany,1895,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,UEFA,19,0.9677,0
2006,Sweden,1859,10,0.8,0.0,0.2,3.0,0.4,2.6,2.4,0,UEFA,16,0.5161,0
2006,Iran,1841,12,0.75,0.0833333333333333,0.1666666666666666,2.4166666666666665,0.5833333333333334,1.8333333333333333,2.333333333333333,0,AFC,23,-1.0,0
2006,Mexico,1839,18,0.8333333333333334,0.0555555555555555,0.1111111111111111,3.7222222222222223,0.5555555555555556,3.1666666666666665,2.555555555555556,0,CONCACAF,4,0.5161,0
2006,Croatia,1837,10,0.7,0.3,0.0,2.1,0.5,1.6,2.4,0,UEFA,23,0.0,0
2006,United States,1824,18,0.6666666666666666,0.2222222222222222,0.1111111111111111,1.9444444444444444,0.6111111111111112,1.3333333333333333,2.2222222222222223,0,CONCACAF,5,0.7742,0
2006,Poland,1822,10,0.8,0.0,0.2,2.7,0.9,1.8,2.4,0,UEFA,29,0.0,0
2006,Serbia and Montenegro,1800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,UEFA,44,-1.0,0
2006,Switzerland,1800,12,0.4166666666666667,0.5,0.0833333333333333,1.8333333333333333,0.9166666666666666,0.9166666666666666,1.75,0,UEFA,35,-1.0,0
2006,Australia,1798,4,0.75,0.0,0.25,2.5,0.5,2.0,2.25,0,AFC,42,-1.0,0
2006,Ukraine,1790,12,0.5833333333333334,0.3333333333333333,0.0833333333333333,1.5,0.5833333333333334,0.9166666666666666,2.083333333333333,0,UEFA,45,-1.0,0
2006,Japan,1789,12,0.9166666666666666,0.0,0.0833333333333333,2.083333333333333,0.4166666666666667,1.6666666666666667,2.75,0,AFC,18,0.5161,0
2006,Paraguay,1779,18,0.4444444444444444,0.2222222222222222,0.3333333333333333,1.2777777777777777,1.2777777777777777,0.0,1.5555555555555556,0,CONMEBOL,33,0.5161,0
2006,Ivory Coast,1766,10,0.7,0.1,0.2,2.0,0.7,1.3,2.2,0,CAF,32,-1.0,0
2006,South Korea,1743,12,0.5833333333333334,0.25,0.1666666666666666,1.5,0.5833333333333334,0.9166666666666666,2.0,0,AFC,29,0.9032,0
2006,Costa Rica,1724,18,0.4444444444444444,0.2222222222222222,0.3333333333333333,1.6666666666666667,1.3888888888888888,0.2777777777777778,1.5555555555555556,0,CONCACAF,26,0.0,0
2006,Tunisia,1703,10,0.6,0.3,0.1,2.5,0.9,1.6,2.1,0,CAF,21,0.0,0
